NP size_min,NP size_max,NP size_avg,ZOI_drug,ZOI_drug_NP,NumHDonors,NumHAcceptors,NumHeteroatoms,ExactMolWt,MaxAbsPartialCharge,MinAbsPartialCharge,MinPartialCharge,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,shape_nanorods_and_triangles,gram_p
4.0,10.0,8.0,17.0,32.0,4.0,6.0,9.0,365.104541708,0.5079666252286738,0.32739938470277585,-0.5079666252286738,48.0,84.0,120.0,37.0,2.0,0.0,0
4.0,10.0,8.0,17.0,32.0,1.0,5.0,8.0,372.05460970400003,1.0,0.5478320702941473,-0.5478320702941473,48.0,84.0,120.0,37.0,2.0,0.0,0
15.0,30.0,28.0,17.0,32.0,4.0,6.0,9.0,365.104541708,0.5079666252286738,0.32739938470277585,-0.5079666252286738,48.0,84.0,120.0,37.0,2.0,0.0,0
15.0,30.0,28.0,17.0,32.0,1.0,5.0,8.0,372.05460970400003,1.0,0.5478320702941473,-0.5478320702941473,48.0,84.0,120.0,37.0,2.0,0.0,0
5.0,30.0,21.0,0.0,17.0,19.0,25.0,35.0,1447.4301996399997,0.5078102858634143,0.33044069667051595,-0.5078102858634143,240.0,288.0,336.0,30.0,1.0,0.0,1
5.0,30.0,21.0,0.0,17.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,240.0,288.0,336.0,30.0,1.0,0.0,1
8.0,20.0,13.5,12.0,15.0,3.0,11.0,15.0,546.0991390440001,0.5431907303710362,0.3498251589388191,-0.5431907303710362,24.0,36.0,48.0,37.0,2.0,1.0,1
20.0,40.0,30.0,500.0,62.5,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,22.0,50.0,3.0,5.0,8.0,349.10962708799997,0.4796728023655437,0.32739938470277585,-0.4796728023655437,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,46.0,48.0,1.0,5.0,8.0,372.05460970400003,1.0,0.5478320702941473,-0.5478320702941473,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,48.0,48.0,2.0,5.0,7.0,285.06709358000006,0.4765377016656827,0.3530834572163571,-0.4765377016656827,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,47.0,47.0,4.0,15.0,18.0,554.046057916,0.48830378298526084,0.3521585021831789,-0.48830378298526084,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,44.0,44.0,6.0,15.0,16.0,822.4051232960003,0.5067356780024597,0.3121091952257162,-0.5067356780024597,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,30.0,42.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,30.0,2.0,1.0,0
14.45,15.55,15.0,28.0,41.0,5.0,14.0,14.0,748.5085257439999,0.45893581612486206,0.3111884259366843,-0.45893581612486206,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,27.0,40.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,12.0,42.0,72.0,37.0,2.0,0.0,0
14.45,15.55,15.0,27.0,40.0,5.0,14.0,14.0,748.5085257439999,0.45893581612486206,0.3111884259366843,-0.45893581612486206,24.0,36.0,48.0,37.0,2.0,0.0,1
14.45,15.55,15.0,32.0,40.0,7.0,10.0,11.0,460.1481803479999,0.509648748334625,0.2554508678439251,-0.509648748334625,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,40.0,40.0,4.0,6.0,9.0,365.104541708,0.5079666252286738,0.32739938470277585,-0.5079666252286738,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,40.0,40.0,3.0,7.0,13.0,517.1631192039998,0.4796728023655437,0.327399384702813,-0.4796728023655437,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,30.0,39.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,0.16,7.08,14.0,30.0,1.0,1.0,1
5.0,30.0,21.0,23.0,38.0,2.0,5.0,7.0,331.13321965599994,0.4774970228339016,0.3407230786793809,-0.4774970228339016,4.0,10.0,16.0,30.0,2.0,0.0,1
14.45,15.55,15.0,25.0,38.0,2.0,5.0,7.0,331.13321965599994,0.4774970228339016,0.3407230786793809,-0.4774970228339016,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,34.0,38.0,3.0,5.0,8.0,349.10962708799997,0.4796728023655437,0.32739938470277585,-0.4796728023655437,24.0,36.0,48.0,30.0,2.0,1.0,0
14.45,15.55,15.0,0.0,37.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,48.0,84.0,120.0,37.0,2.0,0.0,0
8.0,20.0,13.5,26.0,37.0,3.0,9.0,13.0,424.068884472,0.4765594507471282,0.4043169046366358,-0.4765594507471282,0.16,7.08,14.0,30.0,1.0,1.0,1
5.0,32.0,22.5,37.0,37.0,12.0,15.0,19.0,581.2656696879999,0.3935665288175552,0.18776334400778383,-0.3935665288175552,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,0.0,36.0,4.0,12.0,14.0,543.190002648,0.492704456320783,0.26263766546728673,-0.492704456320783,12.0,42.0,72.0,37.0,2.0,0.0,0
14.45,15.55,15.0,27.0,36.0,2.0,6.0,9.0,401.104541708,0.479672802365529,0.32739938471432256,-0.479672802365529,48.0,84.0,120.0,37.0,2.0,0.0,0
5.0,40.0,13.0,29.0,36.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,168.0,252.0,336.0,37.0,2.0,0.0,0
5.0,40.0,18.0,29.0,36.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,168.0,252.0,336.0,37.0,2.0,0.0,0
5.0,32.0,22.5,36.0,36.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,24.0,36.0,48.0,37.0,2.0,0.0,1
14.45,15.55,15.0,20.0,35.0,4.0,12.0,14.0,543.190002648,0.492704456320783,0.26263766546728673,-0.492704456320783,12.0,42.0,72.0,37.0,2.0,0.0,0
5.0,30.0,21.0,22.0,35.0,7.0,10.0,11.0,460.1481803479999,0.509648748334625,0.2554508678439251,-0.509648748334625,24.0,48.0,72.0,30.0,2.0,0.0,0
14.45,15.55,15.0,0.0,34.0,2.0,5.0,7.0,331.13321965599994,0.4774970228339016,0.3407230786793809,-0.4774970228339016,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,0.0,34.0,2.0,5.0,7.0,331.13321965599994,0.4774970228339016,0.3407230786793809,-0.4774970228339016,12.0,42.0,72.0,37.0,2.0,0.0,0
8.0,20.0,13.5,20.0,34.0,2.0,12.0,15.0,477.0388841320001,1.0,0.5431928756541049,-0.5431928756541049,0.16,7.08,14.0,30.0,1.0,1.0,1
5.0,80.0,60.0,22.0,34.0,2.0,2.0,5.0,138.008195334,0.3564520845162225,0.35624689100344736,-0.3564520845162225,24.0,48.0,72.0,37.0,2.0,0.0,0
5.0,80.0,60.0,25.0,34.0,3.0,5.0,8.0,349.10962708799997,0.4796728023655437,0.32739938470277585,-0.4796728023655437,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,29.0,34.0,4.0,8.0,9.0,500.29853298799986,0.481230389785217,0.33018467915601774,-0.481230389785217,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,34.0,34.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,0.16,7.08,14.0,30.0,1.0,1.0,1
14.45,15.55,15.0,0.0,32.0,6.0,9.0,11.0,462.163830412,0.5096487483979377,0.25545086784354076,-0.5096487483979377,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,20.0,32.0,2.0,5.0,7.0,285.06709358000006,0.4765377016656827,0.3530834572163571,-0.4765377016656827,12.0,42.0,72.0,37.0,2.0,0.0,0
5.0,80.0,60.0,21.0,32.0,2.0,2.0,5.0,138.008195334,0.3564520845162225,0.35624689100344736,-0.3564520845162225,48.0,84.0,120.0,37.0,2.0,0.0,0
8.0,20.0,13.5,24.0,32.0,5.0,14.0,14.0,748.5085257439999,0.45893581612486206,0.3111884259366843,-0.45893581612486206,0.16,7.08,14.0,30.0,1.0,1.0,1
8.0,20.0,13.5,24.0,32.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,48.0,72.0,37.0,2.0,1.0,0
14.45,15.55,15.0,30.0,32.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,48.0,84.0,120.0,37.0,2.0,0.0,0
5.0,80.0,60.0,31.0,32.0,12.0,15.0,19.0,581.2656696879999,0.3935665288175552,0.18776334400778383,-0.3935665288175552,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,32.0,32.0,3.0,5.0,8.0,349.10962708799997,0.4796728023655437,0.32739938470277585,-0.4796728023655437,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,32.0,32.0,4.0,8.0,9.0,500.29853298799986,0.481230389785217,0.33018467915601774,-0.481230389785217,24.0,36.0,48.0,30.0,2.0,1.0,0
1.0,9.0,4.7,1000.0,32.0,3.0,11.0,15.0,546.0991390440001,0.5431907303710362,0.3498251589388191,-0.5431907303710362,48.0,84.0,120.0,37.0,2.0,0.0,0
20.0,40.0,30.0,250.0,31.25,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,24.0,36.0,48.0,37.0,2.0,0.0,1
20.0,40.0,30.0,500.0,31.25,3.0,11.0,15.0,546.0991390440001,0.5431907303710362,0.3498251589388191,-0.5431907303710362,24.0,36.0,48.0,37.0,2.0,0.0,1
20.0,40.0,30.0,500.0,31.25,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
20.0,40.0,30.0,500.0,31.25,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
20.0,40.0,30.0,500.0,31.25,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
20.0,40.0,30.0,500.0,31.25,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,8.0,31.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,30.0,2.0,1.0,0
5.0,80.0,60.0,21.0,31.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,48.0,72.0,37.0,2.0,0.0,0
5.0,80.0,60.0,21.0,31.0,1.0,6.0,9.0,238.033819292,0.4330616376402305,0.39959224840943924,-0.39959224840943924,24.0,36.0,48.0,37.0,2.0,0.0,1
5.0,40.0,13.0,24.0,31.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,168.0,252.0,336.0,37.0,2.0,0.0,0
5.0,40.0,18.0,24.0,31.0,19.0,25.0,35.0,1447.4301996399997,0.5078102858634143,0.33044069667051595,-0.5078102858634143,168.0,252.0,336.0,37.0,2.0,0.0,0
5.0,80.0,60.0,23.0,30.0,5.0,14.0,14.0,733.4612412040001,0.45893658117068553,0.3111884202841215,-0.45893658117068553,24.0,48.0,72.0,37.0,2.0,0.0,0
5.0,80.0,60.0,24.0,30.0,5.0,14.0,14.0,733.4612412040001,0.45893658117068553,0.3111884202841215,-0.45893658117068553,24.0,48.0,72.0,37.0,2.0,0.0,0
8.0,20.0,13.5,30.0,30.0,2.0,12.0,15.0,454.0300139280001,0.4765606782889641,0.35215849835095253,-0.4765606782889641,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,30.0,30.0,19.0,25.0,35.0,1447.4301996399997,0.5078102858634143,0.33044069667051595,-0.5078102858634143,8.0,16.0,24.0,30.0,2.0,1.0,0
8.0,20.0,13.5,30.0,30.0,2.0,12.0,15.0,477.0388841320001,1.0,0.5431928756541049,-0.5431928756541049,8.0,16.0,24.0,30.0,2.0,1.0,0
8.0,20.0,13.5,30.0,30.0,2.0,5.0,7.0,285.06709358000006,0.4765377016656827,0.3530834572163571,-0.4765377016656827,8.0,16.0,24.0,30.0,2.0,1.0,0
5.0,80.0,60.0,25.0,29.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
5.0,30.0,21.0,28.0,29.0,12.0,15.0,19.0,581.2656696879999,0.3935665288175552,0.18776334400778383,-0.3935665288175552,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,29.0,29.0,2.0,12.0,15.0,454.0300139280001,0.4765606782889641,0.35215849835095253,-0.4765606782889641,48.0,84.0,120.0,37.0,2.0,1.0,0
5.0,32.0,22.5,29.0,29.0,2.0,5.0,7.0,331.13321965599994,0.4774970228339016,0.3407230786793809,-0.4774970228339016,24.0,36.0,48.0,37.0,2.0,0.0,1
14.45,15.55,15.0,14.0,28.0,2.0,5.0,7.0,331.13321965599994,0.4774970228339016,0.3407230786793809,-0.4774970228339016,12.0,42.0,72.0,37.0,2.0,0.0,0
14.45,15.55,15.0,17.0,28.0,3.0,5.0,8.0,349.10962708799997,0.4796728023655437,0.32739938470277585,-0.4796728023655437,12.0,42.0,72.0,37.0,2.0,0.0,0
5.0,80.0,60.0,18.0,28.0,4.0,10.0,14.0,453.04128982000003,0.4786463774807527,0.35246478492452044,-0.4786463774807527,24.0,36.0,48.0,37.0,2.0,0.0,1
5.0,40.0,13.0,22.0,28.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,48.0,84.0,120.0,37.0,2.0,0.0,0
5.0,40.0,18.0,22.0,28.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,48.0,84.0,120.0,37.0,2.0,0.0,0
5.0,80.0,60.0,22.0,28.0,2.0,12.0,15.0,477.0388841320001,1.0,0.5431928756541049,-0.5431928756541049,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,27.0,28.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,28.0,28.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,8.0,16.0,24.0,30.0,2.0,1.0,0
8.0,20.0,13.5,28.0,28.0,2.0,12.0,15.0,454.0300139280001,0.4765606782889641,0.35215849835095253,-0.4765606782889641,24.0,36.0,48.0,30.0,2.0,1.0,0
5.0,32.0,22.5,28.0,28.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
5.0,32.0,22.5,28.0,28.0,6.0,9.0,11.0,462.163830412,0.5096487483979377,0.25545086784354076,-0.5096487483979377,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,31.0,28.0,12.0,15.0,19.0,581.2656696879999,0.3935665288175552,0.18776334400778383,-0.3935665288175552,48.0,84.0,120.0,37.0,2.0,0.0,0
8.0,20.0,13.5,20.0,27.0,3.0,5.0,9.0,378.0885572959999,0.48039881311352484,0.3273993847027013,-0.48039881311352484,168.0,252.0,336.0,37.0,2.0,1.0,0
5.0,80.0,60.0,20.0,27.0,4.0,10.0,14.0,453.04128982000003,0.4786463774807527,0.35246478492452044,-0.4786463774807527,24.0,48.0,72.0,37.0,2.0,0.0,0
5.0,80.0,60.0,20.0,27.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,25.0,27.0,3.0,5.0,8.0,349.10962708799997,0.4796728023655437,0.32739938470277585,-0.4796728023655437,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,27.0,27.0,5.0,14.0,14.0,733.4612412040001,0.45893658117068553,0.3111884202841215,-0.45893658117068553,48.0,84.0,120.0,37.0,2.0,1.0,0
5.0,32.0,22.5,27.0,27.0,3.0,5.0,8.0,349.10962708799997,0.4796728023655437,0.32739938470277585,-0.4796728023655437,48.0,84.0,120.0,37.0,2.0,0.0,0
8.0,20.0,13.5,20.0,26.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,30.0,2.0,1.0,0
5.0,80.0,60.0,23.0,26.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,25.0,26.0,13.0,17.0,18.0,585.2857364359998,0.3935672815103641,0.24869966342169575,-0.3935672815103641,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,26.0,26.0,13.0,17.0,18.0,585.2857364359998,0.3935672815103641,0.24869966342169575,-0.3935672815103641,48.0,84.0,120.0,37.0,2.0,1.0,0
8.0,20.0,13.5,26.0,26.0,2.0,7.0,7.0,290.13789043599996,0.492704456320783,0.22143163563823992,-0.492704456320783,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,26.0,26.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,48.0,72.0,37.0,2.0,1.0,0
5.0,32.0,22.5,26.0,26.0,11.0,15.0,15.0,484.238057972,0.3935672815104058,0.1866233369638592,-0.3935672815104058,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,0.0,25.0,11.0,15.0,15.0,484.238057972,0.3935672815104058,0.1866233369638592,-0.3935672815104058,12.0,42.0,72.0,37.0,2.0,0.0,0
8.0,20.0,13.5,7.0,25.0,3.0,7.0,13.0,517.1631192039998,0.4796728023655437,0.327399384702813,-0.4796728023655437,48.0,84.0,120.0,37.0,2.0,1.0,0
14.0,42.0,28.0,20.0,25.0,3.0,5.0,9.0,378.0885572959999,0.48039881311352484,0.3273993847027013,-0.48039881311352484,168.0,252.0,336.0,37.0,2.0,0.0,0
5.0,30.0,21.0,21.0,25.0,3.0,9.0,13.0,424.068884472,0.4765594507471282,0.4043169046366358,-0.4765594507471282,4.0,10.0,16.0,30.0,2.0,0.0,1
5.0,30.0,21.0,22.0,25.0,12.0,15.0,19.0,581.2656696879999,0.3935665288175552,0.18776334400778383,-0.3935665288175552,24.0,48.0,72.0,30.0,2.0,0.0,0
8.0,20.0,13.5,23.0,25.0,1.0,6.0,8.0,361.14378433999997,0.48691699060409394,0.34072313809849797,-0.48691699060409394,24.0,36.0,48.0,30.0,1.0,1.0,0
5.0,30.0,21.0,23.0,25.0,4.0,5.0,8.0,299.093977024,0.476539273562781,0.35295090738668283,-0.476539273562781,24.0,36.0,48.0,37.0,2.0,0.0,1
8.0,20.0,13.5,24.0,25.0,3.0,5.0,9.0,322.01232684400003,0.3941232075520646,0.26894513302429984,-0.3941232075520646,0.16,7.08,14.0,30.0,1.0,1.0,1
8.0,20.0,13.5,24.0,25.0,4.0,5.0,8.0,299.093977024,0.476539273562781,0.35295090738668283,-0.476539273562781,24.0,36.0,48.0,30.0,2.0,1.0,0
8.0,20.0,13.5,25.0,25.0,19.0,25.0,35.0,1447.4301996399997,0.5078102858634143,0.33044069667051595,-0.5078102858634143,24.0,36.0,48.0,37.0,2.0,1.0,0
8.0,20.0,13.5,25.0,25.0,2.0,12.0,15.0,477.0388841320001,1.0,0.5431928756541049,-0.5431928756541049,24.0,36.0,48.0,37.0,2.0,1.0,0
8.0,20.0,13.5,25.0,25.0,2.0,5.0,7.0,285.06709358000006,0.4765377016656827,0.3530834572163571,-0.4765377016656827,24.0,36.0,48.0,37.0,2.0,1.0,1
8.0,20.0,13.5,25.0,25.0,2.0,5.0,7.0,285.06709358000006,0.4765377016656827,0.3530834572163571,-0.4765377016656827,8.0,16.0,24.0,30.0,2.0,1.0,0
5.0,32.0,22.5,25.0,25.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,24.0,36.0,48.0,37.0,2.0,0.0,1
5.0,32.0,22.5,25.0,25.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,48.0,84.0,120.0,37.0,2.0,0.0,0
5.0,32.0,22.5,25.0,25.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,24.0,36.0,48.0,37.0,2.0,0.0,1
5.0,32.0,22.5,25.0,25.0,1.0,6.0,9.0,238.033819292,0.4330616376402305,0.39959224840943924,-0.39959224840943924,48.0,84.0,120.0,37.0,2.0,0.0,0
5.0,32.0,22.5,25.0,25.0,1.0,4.0,5.0,232.084792244,0.477497012873671,0.340724876931317,-0.477497012873671,24.0,36.0,48.0,37.0,2.0,0.0,1
5.0,32.0,22.5,25.0,25.0,1.0,4.0,5.0,232.084792244,0.477497012873671,0.340724876931317,-0.477497012873671,24.0,36.0,48.0,37.0,2.0,0.0,1
14.0,42.0,28.0,25.0,25.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,24.0,36.0,48.0,37.0,2.0,0.0,1
14.45,15.55,15.0,27.0,25.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,48.0,84.0,120.0,37.0,2.0,0.0,0
14.45,15.55,15.0,30.0,25.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,24.0,36.0,48.0,37.0,2.0,0.0,1
14.45,15.55,15.0,0.0,24.0,3.0,5.0,6.0,516.3450892559999,0.47787300926695153,0.3311714085847432,-0.47787300926695153,24.0,36.0,48.0,37.0,2.0,0.0,1
5.0,30.0,21.0,21.0,24.0,2.0,12.0,15.0,477.0388841320001,1.0,0.5431928756541049,-0.5431928756541049,4.0,10.0,16.0,30.0,2.0,0.0,1
5.0,30.0,21.0,21.0,24.0,4.0,8.0,9.0,500.29853298799986,0.481230389785217,0.33018467915601774,-0.481230389785217,24.0,48.0,72.0,30.0,2.0,0.0,0
14.45,15.55,15.0,22.0,24.0,1.0,5.0,8.0,372.05460970400003,1.0,0.5478320702941473,-0.5478320702941473,12.0,42.0,72.0,37.0,2.0,0.0,0
8.0,20.0,13.5,22.0,24.0,8.0,12.0,12.0,477.316248716,0.3875623237582984,0.18523178500525575,-0.3875623237582984,168.0,252.0,336.0,37.0,2.0,1.0,0
8.0,20.0,13.5,22.0,24.0,4.0,5.0,8.0,299.093977024,0.476539273562781,0.35295090738668283,-0.476539273562781,24.0,36.0,48.0,30.0,1.0,1.0,0
8.0,20.0,13.5,24.0,24.0,3.0,5.0,8.0,349.10962708799997,0.4796728023655437,0.32739938470277585,-0.4796728023655437,8.0,16.0,24.0,30.0,2.0,1.0,0
8.0,20.0,13.5,24.0,24.0,6.0,9.0,10.0,444.15326572799995,0.5096506200499406,0.25545083550226955,-0.5096506200499406,24.0,36.0,48.0,37.0,2.0,1.0,0
8.0,20.0,13.5,24.0,24.0,4.0,15.0,18.0,554.046057916,0.48830378298526084,0.3521585021831789,-0.48830378298526084,24.0,36.0,48.0,37.0,2.0,1.0,0
5.0,32.0,22.5,24.0,24.0,6.0,9.0,11.0,462.163830412,0.5096487483979377,0.25545086784354076,-0.5096487483979377,48.0,84.0,120.0,37.0,2.0,0.0,0
8.0,20.0,13.5,22.0,23.0,3.0,7.0,13.0,517.1631192039998,0.4796728023655437,0.327399384702813,-0.4796728023655437,24.0,36.0,48.0,30.0,1.0,1.0,0
8.0,20.0,13.5,22.0,23.0,12.0,15.0,19.0,581.2656696879999,0.3935665288175552,0.18776334400778383,-0.3935665288175552,8.0,16.0,24.0,30.0,2.0,1.0,0
